step,loss
5180,6.06710000
5190,7.19130000
5200,6.41760000
5210,6.56840000
5220,6.00200000
5230,6.27000000
5240,5.89380000
5250,6.41380000
5260,7.11950000
5270,6.65210000
5280,6.13420000
5290,6.26680000
5300,6.26410000
5310,6.10570000
5320,6.05640000
5330,6.92710000
5340,6.72140000
5350,7.64540000
5360,6.80970000
5370,6.85500000
5380,5.88460000
5390,6.85840000
5400,6.47960000
5410,5.98650000
5420,6.92720000
5430,5.90840000
5440,7.19470000
5450,5.65490000
5460,7.18750000
5470,7.10120000
5480,7.87840000
5490,6.16120000
5500,7.04590000
5510,6.91180000
5520,6.66330000
5530,5.80640000
5540,6.27270000
5550,7.50550000
5560,5.28570000
5570,5.64130000
5580,6.15540000
5590,5.66480000
5600,8.18850000
5610,6.48180000
5620,7.50140000
5630,6.52190000
5640,7.13130000
5650,6.43040000
5660,7.24950000
5670,6.31810000
5680,5.40170000
5690,6.31460000
5700,7.06550000
5710,4.83580000
5720,6.81160000
5730,6.06960000
5740,6.05390000
5750,6.71940000
5760,8.07750000
5770,5.77720000
5780,5.72400000
5790,7.12000000
5800,6.53440000
5810,6.20690000
5820,5.91400000
5830,5.59740000
5840,6.34920000
5850,6.10630000
5860,6.23210000
5870,5.52940000
5880,7.01480000
5890,5.43020000
5900,5.53320000
5910,6.62640000
5920,6.30100000
5930,7.42800000
5940,6.11430000
5950,5.56670000
5960,6.17390000
5970,5.95920000
5980,7.07010000
5990,6.09170000
6000,6.87010000
6010,6.13540000
6020,7.04020000
6030,5.99560000
6040,7.17080000
6050,7.24450000
6060,7.12990000
6070,6.68300000
6080,7.08860000
6090,7.08800000
6100,7.24200000
6110,6.21660000
6120,7.62590000
6130,7.52150000
6140,6.31560000
6150,5.42080000
6160,5.37410000
6170,6.61380000
6180,5.86210000
6190,5.52650000
6200,5.33120000
6210,6.08610000
6220,6.65330000
6230,6.47580000
6240,6.11960000
6250,7.33560000
6260,6.50460000
6270,5.74590000
6280,5.87980000
6290,6.20960000
6300,6.21510000
6310,6.72420000
6320,7.31230000
6330,5.61330000
6340,6.71360000
6350,5.77610000
6360,5.18650000
6370,6.51980000
6380,6.82740000
6390,6.55570000
6400,6.50190000
6410,5.74590000
6420,5.10830000
6430,5.65030000
6440,5.75570000
6450,4.43070000
6460,6.04490000
6470,6.15440000
6480,7.34470000
6490,5.58690000
6500,6.05430000
6510,5.88780000
6520,5.47910000
6530,4.85410000
6540,6.23440000
6550,6.29450000
6560,6.30510000
6570,5.77610000
6580,4.51260000
6590,6.86920000
6600,5.67630000
6610,4.97350000
6620,5.46960000
6630,5.39310000
6640,7.80330000
6650,6.15580000
6660,6.17040000
6670,6.84110000
6680,5.33570000
6690,6.09240000
6700,6.80440000
6710,6.99900000
6720,6.54220000
6730,6.51340000
6740,6.57800000
6750,6.46360000
6760,7.53800000
6770,5.97570000
6780,6.53340000
6790,7.23110000
6800,5.33760000
6810,6.29830000
6820,5.29680000
6830,5.96850000
6840,5.72190000
6850,6.10570000
6860,6.63130000
6870,6.28690000
6880,5.94900000
6890,6.21870000
6900,6.13250000
6910,5.68110000
6920,5.16610000
6930,5.99390000
6940,5.60330000
6950,5.49690000
6960,5.88910000
6970,5.41260000
6980,7.17400000
6990,4.87410000
7000,6.84390000
7010,5.48640000
7020,7.63190000
7030,5.34370000
7040,4.59830000
7050,4.85820000
7060,5.86640000
7070,6.46650000
7080,5.54220000
7090,6.47440000
7100,5.76980000
7110,7.42810000
7120,7.40280000
7130,6.09560000
7140,5.78610000
7150,5.99110000
7160,7.55860000
7170,6.68130000
7180,4.67840000
7190,6.63150000
7200,5.81420000
7210,5.25040000
7220,7.08260000
7230,6.16220000
7240,5.14990000
7250,5.78420000
7260,6.11390000
7270,5.66450000
7280,5.37890000
7290,6.41560000
7300,6.48030000
7310,5.08000000
7320,5.90930000
7330,4.75440000
7340,5.48370000
7350,5.87320000
7360,4.97980000
7370,5.86620000
7380,5.64140000
7390,6.35850000
7400,7.58860000
7410,5.78650000
7420,5.81520000
7430,6.46030000
7440,5.24010000
7450,5.33350000
7460,6.80240000
7470,7.19550000
7480,5.09110000
7490,7.25210000
7500,5.68300000
7510,5.40800000
7520,6.27120000
7530,5.85160000
7540,4.59810000
7550,6.96470000
7560,6.19920000
7570,4.78960000
7580,4.53200000
7590,6.23660000
7600,6.92250000
7610,7.12020000
7620,6.66490000
7630,6.30590000
7640,7.72210000
7650,6.60410000
7660,6.02050000
7670,5.95610000
7680,5.53270000
7690,6.63560000
7700,4.76570000
7710,5.04940000
7720,6.27360000
7730,6.54910000
7740,4.84010000
7750,6.47310000
7760,5.89030000
7770,4.55610000
7780,5.74030000
7790,5.37960000
7800,5.47460000
7810,4.50330000
7820,6.03260000
7830,6.99100000
7840,4.71000000
7850,7.33500000
7860,5.99790000
7870,5.25270000
7880,6.18250000
7890,6.31980000
7900,7.53150000
7910,6.38640000
7920,4.43690000
7930,7.40520000
7940,5.64940000
7950,5.49970000
7960,5.93400000
7970,6.92710000
7980,5.87560000
7990,6.56530000
8000,7.01550000
8010,5.80710000
8020,5.94050000
8030,6.49300000
8040,5.08230000
8050,5.46160000
8060,5.29600000
8070,6.18820000
8080,4.95290000
8090,6.10200000
8100,6.56380000
8110,6.87070000
8120,6.10790000
8130,5.66060000
8140,5.86080000
8150,5.85120000
8160,5.18490000
8170,6.13080000
8180,5.85590000
8190,5.60230000
8200,5.03530000
8210,5.29330000
8220,4.79140000
8230,5.77020000
8240,6.47190000
8250,6.40380000
8260,5.01310000
8270,7.11650000
8280,5.48290000
8290,5.92900000
8300,4.11770000
8310,6.11160000
8320,6.38170000
8330,6.45320000
8340,4.95330000
8350,5.24140000
8360,6.07780000
8370,8.40920000
8380,6.77910000
8390,6.47260000
8400,6.33690000
8410,4.15570000
8420,5.00070000
8430,5.41290000
8440,7.53040000
8450,5.71500000
8460,5.72990000
8470,5.51850000
8480,7.56100000
8490,6.70290000
8500,5.09430000
8510,6.44050000
8520,4.91630000
8530,5.91330000
8540,6.58330000
8550,6.95170000
8560,5.96330000
8570,6.52350000
8580,5.73170000
8590,7.91340000
8600,5.14180000
8610,6.54500000
8620,5.61640000
8630,7.07570000
8640,5.54770000
8650,5.57500000
8660,5.47780000
8670,5.70190000
8680,6.19960000
8690,5.37050000
8700,7.67580000
8710,4.58440000
8720,6.46070000
8730,4.36130000
8740,5.59190000
8750,5.00240000
8760,5.66100000
8770,4.14900000
